iter	Passed	Remaining
623	5703	26287
624	5712	26278
625	5721	26269
626	5731	26260
627	5740	26250
628	5749	26241
629	5758	26231
630	5767	26221
631	5776	26211
632	5785	26202
633	5797	26206
634	5806	26196
635	5815	26186
636	5824	26177
637	5833	26167
638	5842	26158
639	5851	26147
640	5860	26137
641	5869	26129
642	5878	26119
643	5887	26109
644	5896	26100
645	5905	26089
646	5914	26079
647	5923	26070
648	5932	26061
649	5944	26065
650	5953	26055
651	5962	26045
652	5971	26034
653	5980	26025
654	5989	26016
655	5998	26006
656	6007	25996
657	6016	25986
658	6025	25976
659	6034	25966
660	6043	25957
661	6052	25948
662	6061	25937
663	6070	25927
664	6079	25918
665	6091	25922
666	6100	25912
667	6109	25901
668	6118	25892
669	6127	25881
670	6136	25872
671	6145	25863
672	6154	25852
673	6163	25842
674	6172	25832
675	6181	25821
676	6190	25811
677	6199	25802
678	6207	25791
679	6216	25780
680	6225	25770
681	6246	25809
682	6257	25809
683	6266	25800
684	6276	25791
685	6285	25783
686	6294	25775
687	6304	25765
688	6313	25757
689	6322	25748
690	6331	25738
691	6340	25730
692	6350	25721
693	6359	25712
694	6370	25712
695	6380	25704
696	6389	25695
697	6398	25685
698	6407	25676
699	6417	25668
700	6426	25660
701	6436	25653
702	6445	25645
703	6455	25637
704	6464	25629
705	6474	25621
706	6483	25613
707	6492	25604
708	6502	25595
709	6511	25586
710	6520	25577
711	6530	25570
712	6539	25563
713	6549	25554
714	6558	25545
715	6567	25536
716	6576	25527
717	6586	25519
718	6595	25510
719	6604	25500
720	6613	25490
721	6622	25481
722	6631	25472
723	6641	25463
724	6650	25454
725	6659	25444
726	6668	25436
727	6677	25426
728	6686	25416
729	6695	25406
730	6704	25397
731	6714	25389
732	6723	25380
733	6735	25383
734	6745	25374
735	6754	25364
736	6763	25356
737	6772	25346
738	6781	25337
739	6791	25328
740	6800	25320
741	6809	25311
742	6818	25302
743	6828	25294
744	6837	25284
745	6846	25274
746	6855	25265
747	6864	25256
748	6873	25246
749	6883	25238
750	6892	25230
751	6901	25220
752	6910	25211
753	6919	25201
754	6929	25192
755	6938	25182
756	6947	25172
757	6956	25163
758	6965	25153
759	6974	25144
760	6983	25135
761	6992	25125
762	7001	25115
763	7010	25105
764	7022	25106
765	7031	25097
766	7040	25086
767	7049	25077
768	7058	25067
769	7067	25058
770	7076	25048
771	7085	25038
772	7094	25029
773	7103	25019
774	7112	25009
775	7121	25000
776	7130	24990
777	7139	24980
778	7148	24970
779	7157	24960
780	7167	24951
781	7176	24941
782	7185	24931
783	7194	24922
784	7202	24912
785	7211	24901
786	7220	24891
787	7229	24881
788	7238	24872
789	7248	24863
790	7257	24853
791	7266	24844
792	7275	24835
793	7284	24826
794	7293	24817
795	7302	24807
796	7314	24807
797	7323	24797
798	7332	24788
799	7341	24778
800	7351	24769
801	7360	24761
802	7369	24750
803	7378	24741
804	7387	24730
805	7396	24720
806	7405	24712
807	7414	24702
808	7423	24693
809	7432	24683
810	7441	24674
811	7450	24664
812	7459	24653
813	7468	24645
814	7478	24637
815	7487	24627
816	7496	24618
817	7505	24608
818	7514	24599
819	7524	24591
820	7533	24581
821	7542	24572
822	7551	24563
823	7560	24554
824	7569	24544
825	7578	24535
826	7588	24526
827	7597	24517
828	7609	24517
829	7618	24507
830	7627	24498
831	7637	24490
832	7646	24480
833	7655	24471
834	7664	24461
835	7673	24452
836	7682	24443
837	7692	24434
838	7701	24425
839	7710	24416
840	7719	24406
841	7728	24397
842	7737	24388
843	7747	24380
844	7756	24370
845	7765	24360
846	7774	24351
847	7783	24342
848	7792	24332
849	7801	24323
850	7810	24313
851	7819	24303
852	7828	24294
853	7837	24284
854	7847	24275
855	7856	24266
856	7865	24257
857	7874	24247
858	7883	24237
859	7914	24294
860	7923	24285
861	7932	24276
862	7941	24267
863	7950	24257
864	7959	24247
865	7969	24239
866	7978	24230
867	7987	24220
868	7996	24210
869	8005	24200
870	8014	24191
871	8023	24182
872	8033	24173
873	8042	24163
874	8051	24154
875	8060	24144
876	8069	24134
877	8078	24125
878	8087	24116
879	8097	24107
880	8106	24098
881	8115	24088
882	8124	24079
883	8133	24070
884	8143	24060
885	8152	24051
886	8161	24041
887	8170	24033
888	8179	24024
889	8188	24014
890	8198	24005
891	8207	23995
892	8216	23986
893	8225	23976
894	8234	23967
895	8243	23958
896	8253	23949
897	8262	23940
898	8276	23946
899	8285	23937
900	8295	23928
901	8304	23919
902	8313	23910
903	8323	23901
904	8332	23892
905	8341	23883
906	8350	23874
907	8360	23865
908	8369	23855
909	8378	23846
910	8387	23836
911	8396	23827
912	8405	23818
913	8415	23809
914	8424	23799
915	8433	23789
916	8442	23780
917	8451	23770
918	8460	23761
919	8469	23751
920	8478	23742
921	8487	23732
922	8496	23723
923	8505	23713
924	8514	23703
925	8524	23694
926	8533	23685
927	8542	23675
928	8551	23665
